her_name,list_name,list_pos,bloc_name,bloc_start,bloc_end,bloc2_name,bloc2_start,bloc2_end,education,education_year,pol_history,session
Hassouna Nasfi,Mouvement Nidaa Tounes,Tête de liste,Mouvement Nidaa Tounes,2014-12-20,2016-02-20,Bloc Al Horra du Mouvement Machrouu Tounes,2016-04-20,NA,Master en droit des sociétés,NA,     ,Première session parlementaire
Hela Omrane,Mouvement Nidaa Tounes,2ème sur la liste,Mouvement Nidaa Tounes,2014-12-20,NA,NA,NA,NA,Baccalauréat en sciences expérimentales (2001),2001,Technicienne supérieure au sein de l'Institut National des Sciences et Technologies de la Mer à Monastir (2005),Première session parlementaire
Hela Omrane,Mouvement Nidaa Tounes,2ème sur la liste,Mouvement Nidaa Tounes,2014-12-20,NA,NA,NA,NA,Diplôme universitaire de technologie en biologie industrielle de l'Institut National des Sciences Appliquées et de Technologie de Tunis (2004),2004,Technicienne supérieure au sein de l'Institut National des Sciences et Technologies de la Mer à Monastir (2005),Première session parlementaire
Hayet Omri,Mouvement Ennahdha,2ème sur la liste,Mouvement Ennahdha,2014-12-20,NA,NA,NA,NA,Baccalauréat en mathématiques au lycée secondaire de Regueb (2001),2001,Assistante contractuelle à l'Institut National des Sciences Appliquées et de Technologie (2011 - 2014),Première session parlementaire
Hayet Omri,Mouvement Ennahdha,2ème sur la liste,Mouvement Ennahdha,2014-12-20,NA,NA,NA,NA,Diplôme d'ingénieur national en chimie industrielle de l'Institut National des Sciences Appliquées et de Technologie (2007),2007,Assistante contractuelle à l'Institut National des Sciences Appliquées et de Technologie (2011 - 2014),Première session parlementaire
Hayet Omri,Mouvement Ennahdha,2ème sur la liste,Mouvement Ennahdha,2014-12-20,NA,NA,NA,NA,Master en chimie industrielle de l'Institut National des Sciences Appliquées et de Technologie (2008),2008,Assistante contractuelle à l'Institut National des Sciences Appliquées et de Technologie (2011 - 2014),Première session parlementaire
Hayet Omri,Mouvement Ennahdha,2ème sur la liste,Mouvement Ennahdha,2014-12-20,NA,NA,NA,NA,Doctorat en chimie appliquée de l'Institut National des Sciences Appliquées et de Technologie (2013),2013,Assistante contractuelle à l'Institut National des Sciences Appliquées et de Technologie (2011 - 2014),Première session parlementaire
Leila Oueslati,Mouvement Ennahdha,2ème sur la liste,Mouvement Ennahdha,2014-12-20,NA,NA,NA,NA,"Baccalauréat sciences et mathématiques au lycée secondaire Nasrallah, Kairouan (1983)",1983,Enseignante au lycée secondaire de Chorbane (1991) Enseignante principale au lycée secondaire de Essouassi (2009),Première session parlementaire
Leila Oueslati,Mouvement Ennahdha,2ème sur la liste,Mouvement Ennahdha,2014-12-20,NA,NA,NA,NA,Maitrise en sciences naturelles de la faculté des sciences de Tunis (1990),1990,Enseignante au lycée secondaire de Chorbane (1991) Enseignante principale au lycée secondaire de Essouassi (2009),Première session parlementaire
Leila Ouled Ali,Mouvement Nidaa Tounes,Tête de liste,Mouvement Nidaa Tounes,2014-12-20,2017-04-20,Bloc National,2017-05-20,NA,"Baccalauréat, section Math (1984), Lycée 2 mars El wardia ",1984,"Vive président du département d'étude et de planification, Agence national pour la maîtrise de l'énergie (2001-2006).  Coordinatrice du comité chargé de la gestion et le suivi financier du Fonds national pour la maîtrise de l'énergie, l'Agence nationale pour la maîtrise de l'énergie en 2007 Directrice exécutive du Centre méditerranéen des énergies renouvelables (2008-2013)
 Directrice générale des affaires de la femme et de la famille, ministère de la femme, de la famille, de l'enfance et des personnes âgées (2010)  Coordinatrice national du projet de l'emploi vert, Nations Unies (UNOPS) 2014",Première session parlementaire
